Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Decision Tree,0.6065573770491803,0.5882352941176471,0.6666666666666666,0.625,0.5887096774193548
Logistic Regression,0.5573770491803278,0.5454545454545454,0.6,0.5714285714285714,0.5967741935483871
K-Nearest Neighbors,0.5573770491803278,0.5517241379310345,0.5333333333333333,0.5423728813559322,0.5973118279569893
Random Forest,0.5245901639344263,0.5161290322580645,0.5333333333333333,0.5245901639344263,0.5553763440860215
SVM,0.47540983606557374,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5473118279569893
Gradient Boosting,0.45901639344262296,0.45161290322580644,0.4666666666666667,0.45901639344262296,0.5096774193548387
